id,group,ComprehensionCheck,SAPearson,SAKoelle,ConfidenceKoelle,Gender,Age,SAMonteroPublic,SAMonteroHome,LParking,LCarpark,LServicearea,LPavement,LHome,LDriving,LPassenger,LPub,LWorkplace,AAlone,APartner,AFriends,AColleagues,AStrangers,AFamily
160,magical,magical,5,7,7,male,49,6,6,5,5,5,5,5,3,5,4,5,5,5,5,5,5,5
161,suspenseful,suspenseful,4,6,6,male,37,4,6,5,6,3,5,6,2,3,3,5,6,5,5,4,3,5
162,magical,magical,5,7,7,male,29,6,6,5,5,5,5,5,6,6,6,6,5,5,5,5,5,5
163,expressive,expressive,5,7,7,femal,30,6,6,5,5,5,5,5,6,6,6,5,5,5,5,5,5,5
164,magical,magical,5,7,7,femal,33,6,6,5,5,5,5,4,6,6,4,4,5,5,5,5,5,5
165,magical,magical,5,7,7,femal,52,6,6,5,5,5,5,6,6,6,6,5,5,5,5,5,5,5
166,expressive,expressive,2,2,2,femal,33,2,5,2,2,2,2,5,2,2,2,2,5,5,2,2,1,5
167,secretive,secretive,5,7,7,male,19,6,6,5,5,5,5,5,6,6,6,5,5,5,5,5,5,5
168,expressive,expressive,5,6,6,male,31,6,6,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5
169,secretive,secretive,5,7,7,male,50,6,6,5,5,5,5,5,6,6,6,5,5,5,5,5,5,5
170,magical,magical,5,7,7,femal,34,5,6,5,5,5,5,5,6,6,6,5,5,5,5,5,5,5
171,expressive,expressive,5,7,7,femal,41,6,6,4,4,4,4,4,5,4,3,4,5,5,4,4,4,4
172,secretive,secretive,3,5,7,femal,23,3,4,4,2,3,2,4,3,4,6,3,4,5,3,3,1,3
173,suspenseful,suspenseful,5,7,7,male,37,6,6,5,6,6,6,6,6,6,6,6,5,6,6,6,5,6
174,expressive,expressive,5,7,5,femal,38,4,4,5,5,5,4,5,6,6,6,6,4,5,5,5,5,5
175,magical,magical,5,7,7,femal,32,6,6,5,5,5,5,5,6,6,6,6,5,5,5,5,5,5
176,magical,magical,5,7,7,male,44,6,6,5,5,5,5,5,6,6,6,5,6,5,5,5,5,5
177,secretive,secretive,5,6,5,femal,23,6,5,5,5,4,4,4,6,6,4,4,5,4,4,4,4,5
178,suspenseful,suspenseful,5,7,7,male,25,6,6,5,5,5,5,5,6,6,5,5,6,5,5,5,5,5
179,secretive,secretive,5,7,7,femal,40,5,5,5,5,5,5,5,6,6,5,5,5,5,5,5,5,5
180,expressive,expressive,5,7,5,male,44,6,6,5,5,5,5,5,6,6,6,5,5,5,5,5,5,5
181,suspenseful,suspenseful,5,6,7,male,23,5,6,5,5,4,4,5,6,6,4,4,5,5,5,5,4,5
182,secretive,secretive,5,6,6,femal,50,6,6,5,5,5,5,5,6,6,6,5,5,5,5,4,4,5
